"user_id","item_starttime"
11,2014-09-20 13:13:49
11,2014-01-20 15:35:35
11,2014-09-30 10:23:35
11,2014-09-30 10:07:18
11,2015-01-04 10:22:52
11,2015-01-03 10:30:16
11,2014-10-12 11:16:27
11,2014-02-17 19:50:43
11,2015-02-18 10:27:15
11,2014-10-14 16:16:46
11,2014-12-27 10:52:04
11,2014-01-20 15:07:35
11,2014-10-12 19:10:28
11,2014-10-27 11:45:56
11,2015-01-03 10:40:12
11,2015-01-03 10:46:58
11,2014-06-09 09:40:51
11,2014-03-11 19:33:44
11,2014-12-31 09:26:02
11,2014-01-21 18:38:41
11,2014-12-02 20:57:17
11,2015-02-18 11:39:27
11,2014-11-12 15:08:18
11,2014-01-20 15:43:45
11,2014-10-13 12:32:11
11,2014-01-20 16:06:07
11,2014-01-19 12:16:50
11,2014-11-08 14:55:05
11,2014-07-28 22:08:30
11,2014-07-28 22:03:32
11,2014-12-03 18:34:16
11,2014-04-03 19:52:36
11,2014-01-19 19:21:09
11,2014-05-15 18:12:23
11,2014-11-29 19:45:41
11,2014-04-24 16:20:58
11,2014-05-15 17:59:59
11,2014-03-11 18:51:18
11,2014-12-03 19:53:21
11,2014-06-09 09:54:27
11,2014-09-25 20:42:47
11,2014-10-12 19:27:13
11,2014-10-12 19:37:23
11,2014-01-18 21:38:42
11,2014-01-19 19:00:05
11,2014-12-02 21:07:45
11,2014-07-03 18:50:38
11,2014-04-24 12:30:00
11,2014-07-03 18:55:47
11,2014-03-11 19:27:48
11,2014-06-09 10:02:37
11,2014-06-09 09:58:12
11,2014-01-18 12:38:17
11,2014-10-27 12:30:12
11,2014-05-15 18:19:19
11,2014-01-18 12:32:34
11,2015-01-23 14:58:58
11,2014-10-11 12:17:32
11,2014-09-26 10:39:10
11,2014-10-23 20:23:28
11,2014-01-16 17:21:59
11,2014-12-01 15:45:41
11,2014-06-30 19:37:20
11,2014-05-15 17:54:47
11,2014-11-29 10:52:11
11,2014-10-23 20:45:43
11,2014-09-25 20:26:18
11,2014-09-25 20:02:59
11,2014-01-12 21:03:30
11,2014-10-25 09:39:05
11,2014-11-30 21:21:16
11,2014-11-30 20:46:00
11,2015-02-12 16:28:34
11,2014-09-05 19:27:48
11,2015-01-23 12:59:14
11,2014-01-13 15:32:39
11,2014-01-13 09:52:17
11,2015-03-07 12:03:07
11,2014-04-20 20:51:03
11,2014-06-27 17:39:13
11,2014-11-29 19:34:45
11,2014-05-12 21:08:48
11,2014-10-08 19:03:15
11,2014-12-22 18:31:51
11,2014-06-30 10:04:34
11,2014-05-12 16:02:45
11,2015-02-12 17:15:37
11,2014-12-20 20:58:16
11,2014-12-22 15:01:34
11,2014-11-28 21:07:02
11,2014-01-13 14:35:08
11,2014-04-17 20:28:57
11,2015-03-06 09:27:33
11,2014-01-11 19:59:37
11,2014-01-13 15:48:24
11,2014-04-17 18:48:30
11,2014-03-27 19:18:01
11,2014-01-13 09:56:36
11,2014-05-12 16:57:29
11,2014-05-12 18:46:04
11,2014-06-27 10:56:45
11,2014-03-27 14:17:32
11,2015-02-11 13:16:04
11,2014-06-27 18:12:33
11,2015-03-04 20:36:21
11,2014-02-07 10:55:10
11,2014-11-26 20:12:34
11,2014-04-17 18:34:58
11,2014-03-03 18:59:31
11,2014-10-06 21:08:28
11,2015-03-04 19:57:16
11,2014-11-06 11:48:36
11,2014-05-11 17:55:26
11,2014-06-02 18:10:58
11,2014-06-02 10:31:09
11,2014-10-06 19:26:17
11,2014-06-02 10:02:41
11,2014-01-09 16:55:13
11,2014-05-11 18:11:17
11,2014-11-05 15:19:52
11,2014-06-02 11:49:46
11,2014-06-02 10:08:31
11,2014-02-06 09:54:32
11,2014-06-02 14:51:15
11,2014-06-02 15:36:57
11,2014-06-02 14:43:58
11,2014-01-20 15:54:48
11,2014-03-03 18:38:05
11,2014-02-28 17:36:21
11,2014-02-28 16:24:07
11,2014-02-03 18:47:17
11,2014-02-28 20:34:28
11,2014-05-30 17:14:32
11,2014-05-30 17:25:26
11,2014-02-28 19:35:17
11,2014-02-03 19:27:32
11,2014-10-05 10:41:52
11,2014-05-30 17:31:31
11,2014-10-05 10:47:46
11,2014-05-31 11:44:58
11,2014-03-25 17:48:39
11,2014-10-05 12:56:27
11,2014-10-05 20:27:24
11,2014-10-05 20:37:52
11,2014-05-08 16:26:02
11,2014-01-08 11:27:37
11,2014-05-31 11:10:16
11,2015-03-02 21:15:23
11,2014-01-08 11:46:42
11,2014-09-19 19:07:32
11,2014-11-04 15:45:06
11,2015-03-02 20:44:55
11,2014-05-08 16:35:57
11,2014-03-02 16:57:26
11,2014-06-25 09:35:50
11,2014-10-20 18:29:47
11,2014-02-05 11:08:03
11,2014-02-05 10:51:18
11,2014-02-05 11:14:23
11,2014-06-02 10:14:00
11,2015-03-03 18:04:00
11,2014-01-09 15:39:41
11,2014-11-04 20:31:56
11,2014-02-05 10:43:50
11,2015-05-17 16:04:23
11,2015-05-14 10:07:41
11,2015-05-14 15:13:07
11,2015-10-17 12:51:12
11,2014-06-16 11:35:07
11,2015-10-25 21:36:59
11,2015-10-29 18:13:28
11,2015-10-29 14:48:36
11,2016-03-16 11:25:26
11,2014-06-17 18:00:32
11,2014-06-17 18:54:38
11,2015-12-18 11:14:15
11,2015-03-24 09:21:52
11,2015-10-12 12:27:01
11,2015-05-01 19:30:02
11,2014-06-17 18:04:29
11,2014-12-10 09:36:13
11,2016-03-23 10:13:08
11,2015-04-11 20:53:50
11,2014-05-26 19:55:33
11,2015-11-22 18:07:20
11,2014-01-30 10:30:50
11,2014-02-25 17:06:51
11,2014-06-20 20:33:38
11,2015-03-25 20:03:57
11,2015-03-26 12:06:09
11,2015-06-23 19:59:53
11,2015-02-17 15:37:06
11,2015-02-21 11:49:48
11,2016-01-17 19:08:34
11,2015-02-23 18:48:50
11,2015-11-22 17:35:14
11,2015-11-23 10:45:06
11,2014-11-01 19:02:55
11,2014-10-18 10:22:29
11,2014-02-01 13:42:58
11,2014-10-18 12:01:05
11,2014-02-27 18:26:19
11,2014-02-02 19:08:03
11,2014-11-02 16:08:03
11,2014-11-02 15:39:30
11,2014-12-15 18:40:39
11,2014-11-02 16:20:00
11,2014-11-02 15:43:06
11,2014-05-29 17:55:36
11,2014-10-19 13:14:30
11,2014-02-03 11:34:56
11,2014-03-24 17:41:27
11,2014-05-29 17:49:17
11,2014-04-14 19:44:51
11,2014-02-03 12:23:48
11,2014-10-19 14:26:46
11,2014-03-24 17:48:09
11,2014-02-03 10:42:08
11,2014-06-23 16:03:02
11,2014-02-03 13:54:28
11,2014-06-23 20:11:46
11,2014-04-14 18:15:37
11,2014-11-03 10:44:13
11,2014-12-16 10:16:37
11,2014-04-14 20:34:13
11,2015-03-01 21:04:13
11,2014-02-03 18:12:07
11,2015-01-16 15:09:34
11,2015-03-14 11:28:45
11,2014-06-20 15:03:11
11,2016-03-15 20:09:29
11,2014-12-12 21:12:10
11,2014-01-30 17:49:00
11,2015-03-31 21:48:55
11,2016-03-12 20:43:17
11,2014-02-26 10:24:01
11,2014-01-31 15:21:30
11,2015-06-23 20:41:30
11,2016-01-25 15:15:22
11,2014-01-29 10:23:51
11,2015-10-18 11:09:55
11,2014-01-31 19:00:16
11,2015-05-07 21:11:53
11,2014-02-23 19:24:46
11,2014-06-19 11:27:00
11,2014-06-18 17:07:20
11,2014-01-01 21:09:45
11,2014-01-27 16:20:10
11,2014-02-23 18:52:21
11,2014-05-05 18:43:35
11,2014-02-26 10:19:35
11,2014-04-08 17:16:55
11,2014-10-13 12:49:40
11,2014-01-30 17:58:19
11,2014-05-27 19:19:58
11,2015-03-16 16:06:08
11,2014-10-13 11:47:59
11,2015-05-26 16:38:52
11,2014-06-19 18:30:18
11,2014-11-19 19:20:36
11,2014-02-24 10:39:33
11,2015-01-09 13:20:18
11,2014-06-16 09:52:54
11,2014-02-23 19:18:16
11,2014-02-24 18:27:05
11,2014-05-26 19:51:44
11,2014-05-03 13:47:00
11,2014-06-17 17:30:37
11,2014-04-24 13:45:21
11,2015-03-18 19:27:06
11,2014-02-23 18:45:08
11,2014-11-19 19:00:55
11,2014-02-24 11:48:25
11,2014-02-23 19:00:26
11,2014-01-28 20:01:18
11,2014-01-28 17:46:28
